Respondent_ID,Survey_timestamp,Q1_Age_group,Q1a_Gender,Q2_City_tier,Q2a_State,Q3_Income_band,Q3_Income_num_lakhs,Q4_Planning_status,Q5_Education,Q5a_Occupation,Q_Decision_authority,Q_Tech_adoption,Q_Info_source,Q6_Wedding_type,Q7_Ceremony_count,Q8_Guest_count_est,Q8_Guest_count_band,Q10_Planning_horizon,Q11_Budget_num_lakhs,Q11_Budget_band,Q13_Alloc_check,Q14_Budget_overrun,Q15_Overrun_category,Q16_Price_assessment,Q17_Social_pressure_1to5,Q18_Emotional_triggers_count,Q19_Alert_recep_1to5,Q20_Financial_concern,Q22_Overcharge_perception,Q22a_Net_satisfaction_0to10,Q22b_NPS_proxy,Q24_WTP_band,Q24_WTP_monthly_INR,Q25_Platform_intent,Q26_Pipeline_stage,Q27_LTV_estimate_INR,Fund_Personal_savings,Fund_Personal_loan,Fund_Loan_against_property,Fund_Gold_liquidation,Fund_Relatives_contribution,Fund_Credit_card,Svc_Venue,Svc_Catering,Svc_Photography,Svc_Videography,Svc_Decoration_florals,Svc_Bridal_makeup,Svc_Wedding_planner,Svc_DJ_music,Svc_Invitation_design,Svc_Mehendi_artist,Svc_Bridal_wear,Svc_Jewellery_rental,Svc_Horse_baraat,Svc_Guest_accommodation,Alloc_Venue_Catering_pct,Alloc_Photography_pct,Alloc_Decoration_pct,Alloc_Bridal_wear_pct,Alloc_Entertainment_pct,Alloc_Planner_pct,Alloc_Invitations_pct,Alloc_Misc_pct,Emo_Fear_social_judgment,Emo_Impressing_guests,Emo_Parental_expectations,Emo_Sibling_comparison,Emo_Social_media_influence,Emo_Cultural_obligation,Emo_Once_in_lifetime_thinking,Emo_None_fully_rational,Sat_venue,Sat_catering,Sat_photography,Sat_decoration,Sat_overall,Vendor_prio_1,Vendor_prio_2,Vendor_prio_3,Bundle_Venue_Catering,Bundle_Photo_Video,Bundle_Decor_Mehendi,Bundle_Makeup_Bridal,Bundle_DJ_Band,Bundle_Planner_AllVendors,Bundle_Venue_Decor,Bundle_Photo_Makeup,FeatRating_PriceBenchmark,FeatRating_BudgetOptimiser,FeatRating_OverspendAlert,FeatRating_CostForecast,FeatRating_BundleDeals,FeatRating_PersonaProfile,Is_Outlier_Budget,FE_Budget_per_guest_INR,FE_Services_count,FE_Emotional_intensity,FE_Feature_score_avg,FE_Overrun_flag,FE_Income_budget_ratio,FE_Destination_flag,FE_High_social_pressure,FE_WTP_ordinal,FE_Customer_tier,ENC_Q1_Age_group,ENC_Q2_City_tier,ENC_Q5_Education,ENC_Q10_Planning_horizon,ENC_Q17_Social_pressure_1to5,ENC_Q25_Platform_intent,ENC_Q26_Pipeline_stage,NORM_Q3_Income_num_lakhs,NORM_Q11_Budget_num_lakhs,NORM_Q8_Guest_count_est,NORM_FE_Budget_per_guest_INR,NORM_FE_Feature_score_avg,NORM_Q22a_Net_satisfaction_0to10
SS0011,2024-10-01 03:20:00,18-24,Female,Tier 3/Rural,Others,>75L,109.49,Engaged (1-2y),Up to 12th,Self-employed/Business,Couple jointly,"Yes, actively use finance apps",WhatsApp family groups,Traditional local,5,739,500-1000,6-12 months,120.0,>1Cr,100.0,Exceeded 0-10%,Venue/catering upgrade,Compared 3+ quotes,2,1,3,Minor debt (<6 months),"Yes, slightly overcharged",5.1,5,₹200-499/month,349,Yes,Awareness,9863,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,40.1,15.0,9.6,15.4,10.8,2.1,5.4,1.6,0,1,0,0,0,0,0,1,7.4,6.8,6.5,6.2,5.9,Online reviews,Responsiveness,Word of mouth,1,1,1,1,1,0,1,0,4.0,3.0,4.0,3.0,2.0,3.0,0,16238,12,1,3.17,1,1.096,0,0,2,Mid-value,1,1,1,3,2,2,1,0.9149,0.2376,0.2525,0.0186,0.39,0.5106
SS0012,2024-10-01 03:40:00,31-36,Male,Tier 1,Others,<5L,2.86,Planning now (0-12m),Doctoral,Salaried private,Mixed family committee,Occasionally,Relatives & friends,Destination (within India),1,118,50-150,6-12 months,10.06,10-20L,100.0,Within budget,No overrun,Family/friend referral,3,2,4,Minor debt (<6 months),"No, pricing was fair",6.7,27,One-time ₹999,999,Yes,Retention,25109,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,39.1,9.3,13.7,23.7,5.1,1.6,1.8,5.7,0,1,0,0,1,0,0,1,8.0,6.6,5.7,4.7,7.5,Brand reputation,Responsiveness,Package inclusions,1,0,1,0,0,0,1,0,2.0,4.0,3.0,3.0,4.0,2.0,0,8525,10,2,3.0,0,3.517,1,0,2,High-value,3,3,5,3,3,2,5,0.0044,0.0161,0.0359,0.0096,0.3333,0.6809
SS0013,2024-10-01 04:00:00,31-36,Male,Tier 1,Bihar,10-20L,15.92,Engaged (1-2y),Undergraduate,Salaried govt,Father primarily,"No, prefer manual",Instagram/YouTube,Grand (500+ guests),3,617,500-1000,>12 months,110.03,>1Cr,100.2,Exceeded 0-10%,Guest list expansion,Checked online reviews,4,3,2,Severe financial strain,"Yes, slightly overcharged",5.0,0,₹1000+/month,1200,Maybe,Consideration,13234,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,30.5,15.2,9.1,16.7,9.3,7.7,7.4,4.3,1,0,1,0,1,0,0,0,6.3,7.5,8.0,5.2,5.5,Package inclusions,Price/affordability,Experience,1,0,1,0,0,1,1,0,3.0,4.0,3.0,4.0,4.0,3.0,0,17833,12,3,3.5,1,6.911,0,1,4,Mid-value,3,3,2,4,4,1,2,0.1159,0.2175,0.21,0.0205,0.5,0.5
SS0014,2024-10-01 04:20:00,45+,Male,Tier 3/Rural,Rajasthan,40-75L,58.82,Engaged (1-2y),Undergraduate,Student,Bride primarily,Occasionally,Instagram/YouTube,Grand (500+ guests),3,1140,1000+,6-12 months,120.0,>1Cr,100.0,Exceeded 10-25%,Photography upgrade,Checked online reviews,2,2,2,Severe financial strain,"No, got a great deal",4.9,-18,₹200-499/month,349,Yes,Consideration,9225,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,36.5,17.0,5.1,20.8,8.0,3.3,3.8,5.5,0,0,1,1,0,0,0,0,9.2,8.1,7.8,5.4,6.6,Word of mouth,Experience,Responsiveness,1,1,0,0,1,0,1,0,5.0,4.0,4.0,3.0,4.0,4.0,0,10526,8,2,4.0,1,2.04,0,0,2,Mid-value,5,1,2,3,2,2,2,0.4822,0.2376,0.3924,0.0119,0.6667,0.4894
SS0015,2024-10-01 04:40:00,31-36,Female,Tier 3/Rural,Rajasthan,<5L,3.04,Engaged (1-2y),Undergraduate,Salaried private,Parents primarily,"Yes, actively use finance apps",Instagram/YouTube,Intimate (<100 guests),3,98,50-150,6-12 months,3.66,<5L,100.0,Exceeded 10-25%,Photography upgrade,Compared 3+ quotes,3,3,3,No concern — well within budget,"Yes, significantly overcharged",5.9,16,<₹199/month,99,Yes,Trial,2534,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,40.4,11.0,11.9,19.1,7.6,1.6,4.0,4.4,0,0,1,0,1,1,0,0,5.5,7.3,5.7,6.1,6.3,Price/affordability,Responsiveness,Word of mouth,1,1,1,1,1,1,1,1,2.0,4.0,3.0,2.0,4.0,4.0,0,3735,7,3,3.17,1,1.204,0,0,1,Low-value,3,1,2,3,3,2,3,0.0059,0.0032,0.029,0.0039,0.39,0.5957
SS0016,2024-10-01 05:00:00,31-36,Male,Tier 2,Maharashtra,20-40L,31.91,Parent planning child,Undergraduate,Student,Parents primarily,"No, prefer manual",Mixed sources,Intimate (<100 guests),4,59,50-150,3-6 months,101.45,>1Cr,100.1,Still planning,Family pressure,Family/friend referral,2,2,3,Severe financial strain,"Yes, slightly overcharged",7.0,26,One-time ₹999,999,Yes,Awareness,21757,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,42.4,13.4,9.0,16.0,2.5,9.3,4.2,3.3,1,0,0,0,0,1,0,0,7.2,6.9,7.8,7.3,7.4,Responsiveness,Brand reputation,Price/affordability,0,1,0,0,0,0,1,0,2.0,5.0,2.0,3.0,4.0,3.0,0,171949,8,2,3.17,1,3.179,0,0,2,High-value,3,2,2,2,2,2,1,0.2524,0.2002,0.0153,0.2017,0.39,0.7128
SS0017,2024-10-01 05:20:00,25-30,Female,Tier 1,Punjab,<5L,3.47,Recently married (≤3y),Postgraduate,Salaried private,Bride primarily,Occasionally,Wedding apps (WedMeGood etc.),Traditional local,2,143,50-150,6-12 months,25.05,20-40L,100.0,Exceeded 10-25%,Guest list expansion,Compared 3+ quotes,4,3,2,No concern — well within budget,"No, got a great deal",4.6,-10,₹1000+/month,1200,Yes,Consideration,38431,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,36.4,12.2,11.6,14.5,7.0,9.2,3.6,5.5,0,1,1,1,0,0,0,0,5.7,6.7,7.0,8.0,6.2,Online reviews,Price/affordability,Word of mouth,1,0,0,0,0,0,1,1,4.0,3.0,2.0,2.0,2.0,3.0,0,17517,9,3,2.67,1,7.219,0,1,4,High-value,2,3,3,3,4,2,2,0.0096,0.0463,0.0446,0.0201,0.2233,0.4574
SS0018,2024-10-01 05:40:00,25-30,Female,Tier 2,Others,10-20L,14.47,Planning now (0-12m),Postgraduate,Freelancer,Parents primarily,Occasionally,Relatives & friends,Intimate (<100 guests),2,18,<50,6-12 months,15.52,10-20L,100.0,Exceeded 25-50%,Last-min décor upgrade,Compared 3+ quotes,3,3,2,Significant loan (1-3 years),"No, pricing was fair",7.1,35,₹200-499/month,349,Maybe,Awareness,2991,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,40.1,15.8,6.5,17.1,8.5,2.8,5.5,3.7,1,0,0,1,0,0,1,0,6.7,6.8,7.1,6.2,8.1,Price/affordability,Responsiveness,Word of mouth,0,0,0,1,0,0,1,1,3.0,3.0,2.0,3.0,2.0,2.0,0,86222,7,3,2.5,1,1.073,0,0,2,Low-value,2,2,3,3,3,1,1,0.1035,0.0271,0.001,0.1009,0.1667,0.7234
SS0019,2024-10-01 06:00:00,31-36,Male,Tier 1,Karnataka,10-20L,15.29,Planning now (0-12m),Undergraduate,Homemaker,Couple jointly,"No, prefer manual",Wedding apps (WedMeGood etc.),Traditional local,2,527,500-1000,>12 months,69.8,40-75L,99.9,Exceeded 0-10%,Photography upgrade,Compared 3+ quotes,5,3,2,Significant loan (1-3 years),"Yes, slightly overcharged",4.5,-1,Free only,0,Maybe,Awareness,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,35.8,15.4,14.2,14.0,5.3,3.8,3.4,8.0,0,0,0,1,0,1,1,0,4.7,5.5,6.6,7.0,5.3,Portfolio quality,Brand reputation,Price/affordability,0,1,1,1,1,1,1,0,3.0,4.0,3.0,2.0,4.0,3.0,0,13245,9,3,3.17,1,4.565,0,1,0,Non-customer,3,3,2,4,5,1,1,0.1105,0.1364,0.1786,0.0151,0.39,0.4468
SS0020,2024-10-01 06:20:00,31-36,Female,Tier 2,Others,5-10L,7.22,Planning now (0-12m),Undergraduate,Self-employed/Business,Couple jointly,"No, prefer manual",Relatives & friends,Destination (within India),1,268,150-300,6-12 months,36.53,20-40L,100.0,Exceeded 25-50%,Guest list expansion,Checked online reviews,4,3,4,Significant loan (1-3 years),Unable to assess,6.4,25,₹200-499/month,349,Yes,Consideration,11046,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,34.4,12.8,13.7,13.5,6.3,10.3,2.5,6.5,1,0,0,1,0,0,1,0,4.9,5.1,6.0,9.0,7.2,Portfolio quality,Responsiveness,Online reviews,1,0,0,1,1,0,1,0,2.0,1.0,5.0,2.0,2.0,3.0,0,13631,8,3,2.5,1,5.06,1,1,2,Mid-value,3,2,2,3,4,2,2,0.0416,0.0694,0.0882,0.0156,0.1667,0.6489
SS0021,2024-10-01 06:40:00,25-30,Female,Tier 1,Maharashtra,20-40L,26.98,Parent planning child,Undergraduate,Salaried private,Bride primarily,"Yes, actively use finance apps",,Grand (500+ guests),2,664,500-1000,<3 months,120.0,>1Cr,100.0,Still planning,Bridal outfit/jewellery,Family/friend referral,3,3,5,No concern — well within budget,,6.2,21,₹1000+/month,1200,Yes,Awareness,31524,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,35.3,10.5,14.9,14.6,7.4,8.8,4.8,3.7,1,0,1,0,1,0,0,0,6.3,6.6,6.0,6.0,6.7,Online reviews,Responsiveness,Experience,1,0,0,0,1,0,1,0,3.0,4.0,5.0,4.0,4.0,3.0,0,18072,8,3,3.83,1,4.448,0,0,4,High-value,2,3,2,1,3,2,1,0.2103,0.2376,0.2264,0.0208,0.61,0.6277
SS0022,2024-10-01 07:00:00,18-24,Male,Tier 2,Tamil Nadu,5-10L,7.15,Planning now (0-12m),Postgraduate,Salaried private,Father primarily,"Yes, actively use finance apps",Hired planner,Destination (within India),3,231,150-300,6-12 months,24.93,20-40L,100.0,Within budget,No overrun,Checked online reviews,1,1,4,Significant loan (1-3 years),"Yes, significantly overcharged",3.8,-27,₹200-499/month,349,Yes,Awareness,7769,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,40.7,9.2,11.8,19.1,5.5,7.5,3.3,2.9,0,0,0,0,0,0,1,0,4.4,6.3,6.8,4.1,4.2,Package inclusions,Price/affordability,Responsiveness,1,0,0,1,0,0,0,1,2.0,3.0,3.0,3.0,3.0,4.0,0,10792,6,1,3.0,0,3.487,1,0,2,Mid-value,1,2,3,3,1,2,1,0.041,0.046,0.0753,0.0122,0.3333,0.3723
SS0023,2024-10-01 07:20:00,45+,Female,Tier 3/Rural,Others,10-20L,13.81,Planning now (0-12m),Undergraduate,Self-employed/Business,Parents primarily,Occasionally,Mixed sources,Traditional local,3,341,300-500,3-6 months,48.5,40-75L,100.1,Exceeded 10-25%,Guest list expansion,Used wedding app/website,2,1,3,No concern — well within budget,"Yes, slightly overcharged",5.5,3,<₹199/month,99,Maybe,Awareness,370,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,36.6,11.8,6.8,25.5,6.2,5.4,2.4,5.4,0,1,0,0,0,0,0,1,6.2,6.4,5.9,6.5,6.1,Online reviews,Portfolio quality,Word of mouth,1,0,1,1,1,0,1,0,3.0,3.0,3.0,3.0,3.0,2.0,0,14223,11,1,2.83,1,3.512,0,0,1,Low-value,5,1,2,2,2,1,1,0.0979,0.0935,0.1137,0.0163,0.2767,0.5532
SS0024,2024-10-01 07:40:00,25-30,Male,Tier 1,Others,20-40L,29.59,Recently married (≤3y),Professional,Freelancer,Father primarily,"No, prefer manual",Relatives & friends,Destination (within India),5,763,500-1000,3-6 months,120.0,>1Cr,100.1,Still planning,Guest list expansion,Hired planner to negotiate,4,3,4,Significant loan (1-3 years),"Yes, significantly overcharged",3.5,-25,One-time ₹999,999,Yes,Consideration,23466,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,40.3,8.0,13.8,17.1,8.4,3.2,3.1,6.2,0,1,0,0,1,1,0,0,5.0,4.5,5.8,5.4,5.1,Experience,Price/affordability,Word of mouth,1,1,1,0,0,0,0,0,4.0,3.0,4.0,4.0,5.0,3.0,0,15727,9,3,3.83,1,4.055,1,1,2,High-value,2,3,4,2,4,2,2,0.2326,0.2376,0.2609,0.018,0.61,0.3404
